## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
37	5	9540.109030123154	495.0	931.0	2651	20	Ctrl_H2O2
37	5	9540.109030123154	502.0	813.0	2633	20	Ctrl_H2O2
37	5	9540.109030123154	515.0	844.0	1049	20	Ctrl_H2O2
37	5	9540.109030123154	521.0	808.0	2450	20	Ctrl_H2O2
37	5	9540.109030123154	530.0	811.0	3182	20	Ctrl_H2O2
37	5	9540.109030123154	530.0	905.0	3330	20	Ctrl_H2O2
37	5	9540.109030123154	535.0	852.0	3329	20	Ctrl_H2O2
37	5	9540.109030123154	547.0	900.0	3328	20	Ctrl_H2O2
37	5	9540.109030123154	562.0	810.0	1942	20	Ctrl_H2O2
37	5	9540.109030123154	565.0	921.0	2395	20	Ctrl_H2O2
37	5	9540.109030123154	566.0	841.0	2336	20	Ctrl_H2O2
37	5	9540.109030123154	572.0	890.0	3278	20	Ctrl_H2O2
37	5	9540.109030123154	575.0	807.0	1853	20	Ctrl_H2O2
37	5	9540.109030123154	588.0	872.0	2680	20	Ctrl_H2O2
37	5	9540.109030123154	615.0	875.0	1525	20	Ctrl_H2O2
37	5	9540.109030123154	619.0	897.0	1202	20	Ctrl_H2O2
37	5	9540.109030123154	622.0	846.0	2711	20	Ctrl_H2O2
38	6	5372.300923243327	252.0	187.0	2743	8	Ctrl_H2O2
38	6	5372.300923243327	277.0	206.0	2709	8	Ctrl_H2O2
38	6	5372.300923243327	294.0	199.0	2906	8	Ctrl_H2O2
38	6	5372.300923243327	312.0	95.0	1787	8	Ctrl_H2O2
38	6	5372.300923243327	340.0	178.0	2393	8	Ctrl_H2O2
38	6	5372.300923243327	353.0	145.0	2069	8	Ctrl_H2O2
38	6	5372.300923243327	376.0	135.0	1869	8	Ctrl_H2O2
38	6	5372.300923243327	403.0	148.0	1981	8	Ctrl_H2O2
39	6	659.9787604247915	899.0	227.0	529	1	Ctrl_H2O2
40	6	725.2102145522388	674.0	408.0	1419	1	Ctrl_H2O2
41	6	9015.11151537202	378.0	411.0	1948	4	Ctrl_H2O2
41	6	9015.11151537202	381.0	463.0	2702	4	Ctrl_H2O2
41	6	9015.11151537202	428.0	521.0	2425	4	Ctrl_H2O2
41	6	9015.11151537202	440.0	550.0	2319	4	Ctrl_H2O2
42	6	8096.018560651419	291.0	617.0	1989	11	Ctrl_H2O2
42	6	8096.018560651419	305.0	584.0	1222	11	Ctrl_H2O2
42	6	8096.018560651419	323.0	551.0	2112	11	Ctrl_H2O2
42	6	8096.018560651419	327.0	747.0	1913	11	Ctrl_H2O2
42	6	8096.018560651419	331.0	586.0	2214	11	Ctrl_H2O2
42	6	8096.018560651419	334.0	681.0	2104	11	Ctrl_H2O2
42	6	8096.018560651419	347.0	749.0	2221	11	Ctrl_H2O2
42	6	8096.018560651419	358.0	696.0	2745	11	Ctrl_H2O2
42	6	8096.018560651419	366.0	702.0	2981	11	Ctrl_H2O2
42	6	8096.018560651419	375.0	641.0	1974	11	Ctrl_H2O2
42	6	8096.018560651419	388.0	664.0	1645	11	Ctrl_H2O2
43	6	593.4652124554005	662.0	618.0	529	1	Ctrl_H2O2
44	6	619.3915928291779	142.0	711.0	1302	1	Ctrl_H2O2
45	6	633.2747213659	840.0	810.0	1046	1	Ctrl_H2O2
46	6	718.7267899865788	617.0	928.0	881	1	Ctrl_H2O2
47	7	29303.719296489122	497.0	152.0	2308	3	Ctrl
47	7	29303.719296489122	578.0	101.0	3086	3	Ctrl
47	7	29303.719296489122	604.0	106.0	2157	3	Ctrl
48	7	18750.57395547423	98.0	323.0	2797	4	Ctrl
