## ROI	Slice	Cy5	FociPerCell	FociPerCellNoise	Condition
157	11	23005.060075408463	19	19.5	Etoposide
158	11	14735.08203714642	1	1.5	Etoposide
159	12	2333.868418104414	16	16.0	Ctrl
160	12	980.7016414320079	0	0.0	Ctrl
161	12	2714.164868068118	9	9.5	Ctrl
162	12	2842.188850889193	12	12.0	Ctrl
163	12	2152.8465189020117	21	21.0	Ctrl
164	12	1236.430471682716	1	0.5	Ctrl
165	13	2388.3115290794713	20	20.5	Ctrl
166	13	1134.8434329771405	0	0.5	Ctrl
167	13	809.069528093314	1	1.0	Ctrl
168	13	3369.4822353541986	2	2.5	Ctrl
169	13	846.2098852355136	0	0.0	Ctrl
170	13	2207.1603112340044	26	26.0	Ctrl
171	13	802.0913000830001	0	0.0	Ctrl
172	13	848.31209895632	0	0.0	Ctrl
173	13	1266.875524049089	0	0.0	Ctrl
174	13	936.5798665010866	1	1.0	Ctrl
175	13	2868.9594440783562	13	13.0	Ctrl
176	13	3015.8487226582065	15	15.0	Ctrl
177	13	849.4278651022065	1	1.0	Ctrl
178	14	757.4576871326393	0	-0.5	Ctrl
179	14	2004.1686036812546	22	22.0	Ctrl
180	14	2210.1802064631956	19	18.5	Ctrl
181	14	858.5552365326771	0	0.0	Ctrl
182	14	799.9026476021071	0	0.5	Ctrl
183	14	793.5930075924565	0	0.5	Ctrl
184	14	635.2982187320437	0	0.0	Ctrl
185	14	1480.2258331608364	5	5.0	Ctrl
186	14	1913.5239438557865	17	17.0	Ctrl
187	14	856.5634446105298	1	0.5	Ctrl
188	14	957.5373209529979	1	1.0	Ctrl
189	14	843.0811256976652	0	0.0	Ctrl
190	14	932.851037957092	1	0.5	Ctrl
