 	ROI	Area/um^2	EdU_Mean	DAPI_Mean	Slice	MeanFocusIntensity	FociCount
188	188	20136	259.122	12224.857	14	7095.500	8
189	189	20230	7.459	14940.436	14	0.000	0
190	190	15036	5.478	12841.203	14	6385.800	5
191	191	14962	6.159	10614.401	14	0.000	0
192	192	16150	4.167	8700.140	15	0.000	0
193	193	15830	4.074	9609.780	15	0.000	0
194	194	16547	4.111	8831.276	15	0.000	0
195	195	15469	4.180	9378.017	15	0.000	0
196	196	19154	4.383	8728.800	15	6119.600	5
197	197	24658	5.534	10160.473	15	0.000	0
198	198	15302	4.142	10731.192	15	0.000	0
199	199	16766	4.248	9741.460	15	0.000	0
200	200	20857	4.104	7898.238	15	4966.500	6
201	201	13926	4.346	21317.629	15	0.000	0
202	202	13129	4.030	13906.897	16	0.000	0
203	203	16319	4.174	8805.825	16	0.000	0
204	204	13357	3.903	12838.609	16	0.000	0
205	205	15368	5.005	10403.039	16	0.000	0
206	206	16001	4.130	10151.960	16	5317.000	1
207	207	15884	4.218	11537.454	16	0.000	0
208	208	12482	4.085	13146.289	16	0.000	0
209	209	13104	5.073	14315.576	16	6640.000	1
210	210	15263	5.930	10995.600	16	0.000	0
211	211	14336	5.691	14028.586	16	0.000	0
212	212	12112	6.562	15018.504	16	4750.000	1
213	213	16017	321.834	12121.760	16	5550.917	24
214	214	17698	379.464	12621.646	16	6211.375	16
215	215	19610	187.237	9375.214	16	6821.548	42
216	216	15950	6.807	8184.642	16	0.000	0
217	217	16664	4.167	10989.091	17	0.000	0
218	218	13905	4.289	10486.905	17	0.000	0
219	219	16149	4.075	10682.236	17	0.000	0
220	220	14856	4.603	9079.592	17	0.000	0
221	221	12427	4.313	11342.315	17	0.000	0
222	222	12751	5.251	18844.503	17	0.000	0
223	223	18219	58.104	7640.523	17	6642.120	25
224	224	19814	4.153	7544.392	17	5863.000	1
225	225	17341	4.156	8040.528	17	0.000	0
226	226	14210	162.242	9471.253	17	5568.500	2
227	227	16624	5.273	9607.210	17	0.000	0
228	228	16457	7.160	8651.304	17	7391.500	36
229	229	12254	23.439	11832.167	17	5449.500	8
230	230	13684	289.901	10522.205	17	6456.348	23
231	231	13258	4.448	11542.492	18	4836.500	2
232	232	16800	3.900	10246.176	18	0.000	0
233	233	13949	150.244	10515.877	18	4749.111	9
234	234	14415	4.571	12309.980	18	4773.000	1
235	235	14588	4.256	14126.916	18	0.000	0
236	236	14784	4.143	11818.390	18	0.000	0
237	237	15231	3.973	11625.138	18	5731.000	1
238	238	14089	4.188	12843.439	18	0.000	0
239	239	17228	3.941	10758.246	18	0.000	0
240	240	14373	4.765	15176.994	18	0.000	0
241	241	17089	222.803	11756.336	18	5759.625	16
242	242	17290	4.108	10301.257	18	0.000	0
243	243	16099	4.037	11135.885	18	0.000	0
244	244	15331	225.476	11154.052	18	5835.429	14
245	245	15190	4.261	8891.582	19	0.000	0
246	246	18506	123.052	6672.011	19	6542.429	35
247	247	16887	174.251	9296.617	19	6235.091	33
248	248	16505	195.925	8501.536	19	6108.917	24
249	249	16163	4.840	10500.976	19	3942.000	1
250	250	14358	6.801	11566.042	19	5559.000	2
251	251	10858	5.169	14034.771	19	0.000	0
252	252	17398	39.052	8931.659	19	7119.964	28
253	253	17815	204.802	10707.030	19	5729.840	25
254	254	16922	187.149	8280.872	19	5690.278	18
255	255	19084	207.021	9756.158	19	5983.760	25
256	256	18192	5.650	8812.755	19	0.000	0
257	257	16848	196.942	11996.889	20	5630.000	27
258	258	9171	6.301	22875.738	20	7562.000	3
259	259	13602	53.093	9647.252	20	6533.471	17
260	260	12041	164.544	13026.802	20	6245.913	23
261	261	11850	5.046	12768.226	20	0.000	0
262	262	14859	237.965	10715.945	20	5476.556	18
263	263	12789	6.511	12542.847	20	0.000	0
264	264	13499	5.632	18182.805	20	6975.286	21
265	265	13827	4.793	10781.875	20	0.000	0
266	266	15542	137.234	10980.829	20	6736.375	24
267	267	15224	241.847	12390.442	20	5262.929	14
268	268	20458	6.127	13104.398	20	6538.167	18
269	269	15392	59.035	9634.161	20	6465.357	28
270	270	11849	4.791	12770.742	20	0.000	0
271	271	14027	4.654	9812.915	20	0.000	0
272	272	12688	250.580	13546.426	20	6104.273	22
273	273	15332	3.948	9884.632	21	0.000	0
274	274	16906	90.518	8716.256	21	8882.000	1
275	275	19996	3.708	8040.932	21	5315.500	2
276	276	16831	3.669	10082.510	21	4649.000	1
277	277	16772	85.582	9253.074	21	5788.100	20
278	278	27909	3.947	9509.608	21	9066.000	1
279	279	18112	120.808	9860.191	21	4403.000	1
280	280	20074	154.241	11356.774	21	5395.500	4
281	281	20972	115.161	10203.972	21	0.000	0
282	282	22344	3.904	11689.366	21	4996.000	1
283	283	17480	136.447	9001.718	21	0.000	0
284	284	15700	129.110	11121.503	21	4746.000	1
285	285	16338	161.229	10720.015	22	0.000	0
286	286	14507	27.973	11323.490	22	0.000	0
287	287	15890	4.174	10596.432	22	0.000	0
288	288	13803	28.475	14646.427	22	0.000	0
289	289	13364	4.394	16822.411	22	0.000	0
290	290	13599	3.752	18616.128	22	0.000	0
291	291	16375	115.530	9746.685	22	4580.250	4
292	292	16560	4.353	10781.922	22	0.000	0
293	293	13975	4.084	14751.639	22	0.000	0
294	294	13331	4.111	14571.661	22	0.000	0
295	295	13033	3.812	12183.221	22	0.000	0
296	296	20240	228.846	13066.350	22	5760.500	18
297	297	16627	3.866	10561.495	22	4126.000	1
