## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
185	20	382.2150553953559	0	0.0	shSTN1_Etoposide
186	20	22241.326570256853	13	12.5	shSTN1_Etoposide
187	20	22697.42544316997	14	14.0	shSTN1_Etoposide
188	21	2969.67758580705	3	3.0	shSTN1_H2O2
189	21	3203.1913880660177	6	6.5	shSTN1_H2O2
190	21	9662.137465865648	5	5.5	shSTN1_H2O2
191	21	281.65324710811547	10	9.5	shSTN1_H2O2
192	21	277.15097941567063	4	4.0	shSTN1_H2O2
193	21	270.5441903997861	0	0.0	shSTN1_H2O2
194	21	267.2992640484215	0	0.5	shSTN1_H2O2
195	21	265.7395863340439	0	0.0	shSTN1_H2O2
196	21	284.2636546920821	0	-0.5	shSTN1_H2O2
197	21	275.37513154699263	4	4.5	shSTN1_H2O2
198	22	270.0522802111056	0	0.0	shSTN1_H2O2
199	22	271.549816134222	0	0.5	shSTN1_H2O2
200	22	262.89839420207477	0	0.0	shSTN1_H2O2
201	22	274.4096693871905	0	0.0	shSTN1_H2O2
202	22	5688.780410987195	1	1.0	shSTN1_H2O2
203	22	276.81633453119895	0	0.5	shSTN1_H2O2
204	22	270.0893970893971	2	2.5	shSTN1_H2O2
205	22	4749.178017104847	5	4.5	shSTN1_H2O2
206	22	11529.598204006446	10	10.5	shSTN1_H2O2
207	22	2952.905394736842	13	13.0	shSTN1_H2O2
208	22	7334.514259159614	2	2.0	shSTN1_H2O2
209	23	279.9585107150588	0	0.5	shSTN1_H2O2
210	23	271.8926183561829	0	0.5	shSTN1_H2O2
211	23	263.4441995592066	1	1.0	shSTN1_H2O2
212	23	263.1114278631631	0	0.5	shSTN1_H2O2
213	23	270.2938453320672	0	0.5	shSTN1_H2O2
214	23	277.0029795866616	0	0.5	shSTN1_H2O2
215	23	5629.1083198755905	18	18.5	shSTN1_H2O2
216	23	2830.776819520404	20	20.0	shSTN1_H2O2
217	23	5418.418599932364	17	16.5	shSTN1_H2O2
218	23	276.6629462870188	0	0.5	shSTN1_H2O2
219	23	274.77491462278795	0	0.5	shSTN1_H2O2
220	23	345.0724133224133	18	18.5	shSTN1_H2O2
221	23	292.7846205282514	0	0.0	shSTN1_H2O2
222	24	283.66229081662823	0	0.0	shSTN1_H2O2
223	24	1203.036786973142	2	2.5	shSTN1_H2O2
224	24	280.5444735120994	0	0.0	shSTN1_H2O2
225	24	282.8287394558631	0	0.5	shSTN1_H2O2
226	24	2970.74862666385	0	0.5	shSTN1_H2O2
227	24	282.843741209564	0	0.0	shSTN1_H2O2
228	24	287.68799623200107	0	0.5	shSTN1_H2O2
229	24	2331.2654495707143	0	0.5	shSTN1_H2O2
230	24	293.89485389983895	0	0.5	shSTN1_H2O2
231	24	305.21172764096957	2	2.5	shSTN1_H2O2
232	24	15096.019397015181	4	4.0	shSTN1_H2O2
233	25	14071.71781294964	1	1.0	shSTN1_H2O2
234	25	10922.85628318584	3	3.0	shSTN1_H2O2
235	25	12239.36989944859	3	3.0	shSTN1_H2O2
236	25	2946.947048204854	11	11.0	shSTN1_H2O2
237	25	380.8814999610197	0	-0.5	shSTN1_H2O2
