## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
58	8	43879.61087948395	8	8.5	Ctrl
59	8	590.4602763385146	0	0.0	Ctrl
60	8	27646.31285068697	24	24.0	Ctrl
61	8	44566.79913896535	21	20.5	Ctrl
62	8	19984.29440124417	17	17.0	Ctrl
63	9	34527.92960046905	1	1.0	shSTN1_H2O2
64	9	35794.558944281525	1	1.0	shSTN1_H2O2
65	9	36388.256370816875	1	1.0	shSTN1_H2O2
66	9	26805.973498763025	0	0.5	shSTN1_H2O2
67	9	18096.47475925206	0	0.0	shSTN1_H2O2
68	9	642.2871671496528	0	-0.5	shSTN1_H2O2
69	9	626.580464595578	0	-0.5	shSTN1_H2O2
70	10	7032.424119301692	1	0.5	shSTN1_H2O2
71	10	2312.5016638555862	0	0.5	shSTN1_H2O2
72	10	1758.9834894722196	0	0.5	shSTN1_H2O2
73	10	588.9368961352657	0	0.0	shSTN1_H2O2
74	10	602.4047854242125	0	-0.5	shSTN1_H2O2
75	10	11857.889272993923	0	-0.5	shSTN1_H2O2
76	10	4295.513473674513	0	0.5	shSTN1_H2O2
77	10	607.8264971287941	0	0.0	shSTN1_H2O2
78	10	10266.99694426708	0	-0.5	shSTN1_H2O2
79	11	5523.39960398159	0	0.0	shSTN1_H2O2
80	11	5941.588592598975	0	-0.5	shSTN1_H2O2
81	11	6633.243695097762	0	0.5	shSTN1_H2O2
82	11	19064.90021241018	0	0.0	shSTN1_H2O2
83	11	17224.259321064175	1	1.0	shSTN1_H2O2
84	11	20349.305540767436	0	0.5	shSTN1_H2O2
85	11	26974.5395461089	0	0.0	shSTN1_H2O2
86	12	869.0233909188197	0	0.0	shSTN1_H2O2
87	12	997.7781569965871	0	-0.5	shSTN1_H2O2
88	12	614.0717379233758	0	0.0	shSTN1_H2O2
89	12	777.1686017478153	0	-0.5	shSTN1_H2O2
90	12	18598.435710517482	0	0.0	shSTN1_H2O2
91	12	30454.388358247314	0	0.0	shSTN1_H2O2
92	12	23339.521496411224	1	1.5	shSTN1_H2O2
93	12	37515.6472469064	0	0.0	shSTN1_H2O2
94	12	25440.201074568544	0	0.5	shSTN1_H2O2
95	13	618.9248047270225	0	0.5	shSTN1
96	13	30530.869601110735	0	0.0	shSTN1
97	13	47800.74012576145	18	18.0	shSTN1
98	13	43400.62193079217	3	2.5	shSTN1
99	13	49772.30436519466	17	16.5	shSTN1
100	14	883.128609177623	0	0.0	shSTN1
101	14	40017.98746547695	8	7.5	shSTN1
102	14	19909.375466559064	8	8.5	shSTN1
103	14	22355.10972506154	6	5.5	shSTN1
104	14	1583.6863567073171	1	1.0	shSTN1
105	14	26077.471712775878	6	6.0	shSTN1
106	14	500.93589743589746	0	0.0	shSTN1
107	14	42171.34829869643	10	10.5	shSTN1
108	15	650.7477205287295	0	0.0	shSTN1
109	15	511.85821216553387	0	0.0	shSTN1
110	15	50949.985012266174	11	11.5	shSTN1
111	15	440.40744570837643	0	0.0	shSTN1
112	15	32626.096654998055	0	-0.5	shSTN1
113	15	585.8684320142814	0	-0.5	shSTN1
114	15	42588.09412979057	1	0.5	shSTN1
115	15	1492.500467094031	0	0.0	shSTN1
116	16	489.0953614224971	0	0.0	shSTN1
117	16	14562.216486996773	4	4.5	shSTN1
118	16	16047.035843373495	1	1.5	shSTN1
119	16	39096.28670453692	1	1.5	shSTN1
120	16	40688.6882536037	2	1.5	shSTN1
121	16	36101.670147831916	4	4.5	shSTN1
122	16	34997.777554535016	2	2.0	shSTN1
